what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1389581481495
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1389581481510
started,bundle,org.eclipse.m2e.launching,1.3.1.20130219-1424,"org.eclipse.m2e.launching",1389581482027
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389581482221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389581489859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389581504094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389581510328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389581513723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389583020223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389583025238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389583050081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389583051973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389583225617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389583246865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389583248362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389583262447
